25-04-10 08:08:33 INFO  | [AUTH] path: /api/chat/history
25-04-10 08:08:40 INFO  | [AUTH] path: /api/chat/history
25-04-10 08:08:40 INFO  | [AUTH] path: /api/chat/history
25-04-10 08:08:50 INFO  | [AUTH] path: /view/chatListView
25-04-10 08:08:50 WARN  | JWT 디코딩 실패: CharSequence cannot be null or empty.
25-04-10 08:08:50 INFO  | [AUTH] AccessToken 재발급 완료 : user2
25-04-10 08:08:52 INFO  | [AUTH] path: /view/chatListView
25-04-10 08:08:53 INFO  | [AUTH] path: /view/chatView
25-04-10 08:08:53 INFO  | [AUTH] path: /view/chatView
25-04-10 08:08:53 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:08:53 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:08:53 INFO  | [AUTH] path: /api/chat/history
25-04-10 08:08:54 INFO  | [AUTH] path: /api/chat/history
25-04-10 08:08:54 INFO  | [AUTH] path: /api/chat/history
25-04-10 08:08:55 INFO  | [AUTH] path: /api/chat/history
25-04-10 08:08:55 INFO  | [AUTH] path: /api/chat/history
25-04-10 08:15:47 INFO  | [AUTH] path: /view/chatView
25-04-10 08:15:47 INFO  | [AUTH] path: /view/chatView
25-04-10 08:15:48 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:15:48 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:15:48 INFO  | [AUTH] path: /api/chat/history
25-04-10 08:16:58 INFO  | [AUTH] path: /view/chatView
25-04-10 08:16:58 INFO  | [AUTH] path: /view/chatView
25-04-10 08:16:58 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:16:58 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:16:59 INFO  | [AUTH] path: /view/chatListView
25-04-10 08:17:00 INFO  | [AUTH] path: /view/chatListView
25-04-10 08:17:02 INFO  | [AUTH] path: /view/chatView
25-04-10 08:17:02 INFO  | [AUTH] path: /view/chatView
25-04-10 08:17:02 INFO  | [AUTH] path: /ws/chat/room2
25-04-10 08:17:02 INFO  | [AUTH] path: /ws/chat/room2
25-04-10 08:17:03 INFO  | [AUTH] path: /view/chatView
25-04-10 08:17:03 INFO  | [AUTH] path: /view/chatView
25-04-10 08:17:03 INFO  | [AUTH] path: /ws/chat/room2
25-04-10 08:17:03 INFO  | [AUTH] path: /ws/chat/room2
25-04-10 08:17:04 INFO  | [AUTH] path: /view/chatListView
25-04-10 08:17:05 INFO  | [AUTH] path: /view/chatView
25-04-10 08:17:05 INFO  | [AUTH] path: /view/chatView
25-04-10 08:17:05 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:17:05 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:17:06 INFO  | [AUTH] path: /view/chatListView
25-04-10 08:17:14 INFO  | [AUTH] path: /view/chatView
25-04-10 08:17:14 INFO  | [AUTH] path: /view/chatView
25-04-10 08:17:14 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:17:14 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:17:25 INFO  | [AUTH] path: /view/chatListView
25-04-10 08:17:29 INFO  | [AUTH] path: /view/chatView
25-04-10 08:17:29 INFO  | [AUTH] path: /view/chatView
25-04-10 08:17:29 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:17:29 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:18:34 INFO  | [AUTH] path: /view/chatView
25-04-10 08:18:34 INFO  | [AUTH] path: /view/chatView
25-04-10 08:18:34 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:18:34 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:18:44 INFO  | [AUTH] path: /view/chatView
25-04-10 08:18:44 INFO  | [AUTH] path: /view/chatView
25-04-10 08:18:44 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:18:44 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:18:45 INFO  | [AUTH] path: /view/chatView
25-04-10 08:18:45 INFO  | [AUTH] path: /view/chatView
25-04-10 08:18:45 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:18:45 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:18:45 INFO  | [AUTH] path: /view/chatView
25-04-10 08:18:45 INFO  | [AUTH] path: /view/chatView
25-04-10 08:18:45 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:18:45 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:18:46 INFO  | [AUTH] path: /view/chatView
25-04-10 08:18:46 INFO  | [AUTH] path: /view/chatView
25-04-10 08:18:46 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:18:46 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:18:48 INFO  | [AUTH] path: /view/chatView
25-04-10 08:18:48 INFO  | [AUTH] path: /view/chatView
25-04-10 08:18:48 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:18:48 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:18:49 INFO  | [AUTH] path: /view/chatView
25-04-10 08:18:49 INFO  | [AUTH] path: /view/chatView
25-04-10 08:18:49 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:18:49 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:18:49 INFO  | [AUTH] path: /view/chatView
25-04-10 08:18:49 INFO  | [AUTH] path: /view/chatView
25-04-10 08:18:49 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:18:49 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:18:49 INFO  | [AUTH] path: /view/chatView
25-04-10 08:18:49 INFO  | [AUTH] path: /view/chatView
25-04-10 08:18:50 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:18:50 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:18:50 INFO  | [AUTH] path: /view/chatView
25-04-10 08:18:50 INFO  | [AUTH] path: /view/chatView
25-04-10 08:18:50 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:18:50 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:18:55 INFO  | [AUTH] path: /view/chatListView
25-04-10 08:18:56 INFO  | [AUTH] path: /view/chatView
25-04-10 08:18:56 INFO  | [AUTH] path: /view/chatView
25-04-10 08:18:56 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:18:56 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:19:00 INFO  | [AUTH] path: /view/chatView
25-04-10 08:19:00 INFO  | [AUTH] path: /view/chatView
25-04-10 08:19:00 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:19:00 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:19:01 INFO  | [AUTH] path: /view/chatView
25-04-10 08:19:01 INFO  | [AUTH] path: /view/chatView
25-04-10 08:19:01 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:19:01 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:19:01 INFO  | [AUTH] path: /view/chatView
25-04-10 08:19:01 INFO  | [AUTH] path: /view/chatView
25-04-10 08:19:01 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:19:01 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:19:01 INFO  | [AUTH] path: /view/chatView
25-04-10 08:19:01 INFO  | [AUTH] path: /view/chatView
25-04-10 08:19:01 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:19:01 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:19:05 INFO  | [AUTH] path: /view/chatListView
25-04-10 08:19:06 INFO  | [AUTH] path: /view/chatView
25-04-10 08:19:06 INFO  | [AUTH] path: /view/chatView
25-04-10 08:19:06 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:19:06 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:19:08 INFO  | [AUTH] path: /view/chatListView
25-04-10 08:19:09 INFO  | [AUTH] path: /view/chatView
25-04-10 08:19:09 INFO  | [AUTH] path: /view/chatView
25-04-10 08:19:09 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:19:09 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:19:11 INFO  | [AUTH] path: /view/chatListView
25-04-10 08:19:12 INFO  | [AUTH] path: /view/chatView
25-04-10 08:19:12 INFO  | [AUTH] path: /view/chatView
25-04-10 08:19:12 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:19:12 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:19:13 INFO  | [AUTH] path: /view/chatListView
25-04-10 08:19:14 INFO  | [AUTH] path: /view/chatView
25-04-10 08:19:14 INFO  | [AUTH] path: /view/chatView
25-04-10 08:19:14 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:19:14 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:19:16 INFO  | [AUTH] path: /view/chatListView
25-04-10 08:19:17 INFO  | [AUTH] path: /view/chatView
25-04-10 08:19:17 INFO  | [AUTH] path: /view/chatView
25-04-10 08:19:17 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:19:17 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:19:18 INFO  | [AUTH] path: /view/chatListView
25-04-10 08:19:19 INFO  | [AUTH] path: /view/chatView
25-04-10 08:19:19 INFO  | [AUTH] path: /view/chatView
25-04-10 08:19:19 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:19:19 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:19:22 INFO  | [AUTH] path: /view/chatListView
25-04-10 08:19:22 INFO  | [AUTH] path: /view/chatView
25-04-10 08:19:22 INFO  | [AUTH] path: /view/chatView
25-04-10 08:19:23 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:19:23 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:19:27 INFO  | [AUTH] path: /view/chatListView
25-04-10 08:19:28 INFO  | [AUTH] path: /view/chatView
25-04-10 08:19:28 INFO  | [AUTH] path: /view/chatView
25-04-10 08:19:28 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:19:28 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:19:29 INFO  | [AUTH] path: /view/chatListView
25-04-10 08:19:30 INFO  | [AUTH] path: /view/chatView
25-04-10 08:19:30 INFO  | [AUTH] path: /view/chatView
25-04-10 08:19:30 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:19:30 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:19:36 INFO  | [AUTH] path: /view/chatListView
25-04-10 08:19:37 INFO  | [AUTH] path: /view/chatView
25-04-10 08:19:37 INFO  | [AUTH] path: /view/chatView
25-04-10 08:19:37 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:19:37 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:19:38 INFO  | [AUTH] path: /view/chatListView
25-04-10 08:19:39 INFO  | [AUTH] path: /view/chatView
25-04-10 08:19:39 INFO  | [AUTH] path: /view/chatView
25-04-10 08:19:39 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:19:39 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:19:41 INFO  | [AUTH] path: /view/chatListView
25-04-10 08:19:42 INFO  | [AUTH] path: /view/chatView
25-04-10 08:19:42 INFO  | [AUTH] path: /view/chatView
25-04-10 08:19:42 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:19:42 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:20:03 INFO  | [AUTH] path: /view/chatView
25-04-10 08:20:03 INFO  | [AUTH] path: /view/chatView
25-04-10 08:20:03 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:20:03 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:24:49 INFO  | [AUTH] path: /view/chatView
25-04-10 08:24:49 INFO  | [AUTH] path: /view/chatView
25-04-10 08:24:50 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:24:50 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:24:55 INFO  | [AUTH] path: /view/chatView
25-04-10 08:24:55 INFO  | [AUTH] path: /view/chatView
25-04-10 08:24:55 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:24:55 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:25:01 INFO  | [AUTH] path: /view/chatListView
25-04-10 08:25:02 INFO  | [AUTH] path: /view/chatView
25-04-10 08:25:02 INFO  | [AUTH] path: /view/chatView
25-04-10 08:25:02 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:25:02 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:25:05 INFO  | [AUTH] path: /view/chatListView
25-04-10 08:25:05 INFO  | [AUTH] path: /view/chatView
25-04-10 08:25:05 INFO  | [AUTH] path: /view/chatView
25-04-10 08:25:06 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:25:06 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:28:04 INFO  | [AUTH] path: /view/chatView
25-04-10 08:28:04 INFO  | [AUTH] path: /view/chatView
25-04-10 08:28:53 INFO  | [AUTH] path: /view/chatListView
25-04-10 08:28:54 INFO  | [AUTH] path: /view/chatView
25-04-10 08:28:54 INFO  | [AUTH] path: /view/chatView
25-04-10 08:29:01 INFO  | [AUTH] path: /view/chatView
25-04-10 08:29:01 INFO  | [AUTH] path: /view/chatView
25-04-10 08:39:16 INFO  | [AUTH] path: /view/chatView
25-04-10 08:39:16 WARN  | JWT 디코딩 실패: CharSequence cannot be null or empty.
25-04-10 08:39:16 INFO  | [AUTH] AccessToken 재발급 완료 : user1
25-04-10 08:39:16 INFO  | [AUTH] path: /view/chatView
25-04-10 08:39:16 WARN  | JWT 디코딩 실패: CharSequence cannot be null or empty.
25-04-10 08:39:16 INFO  | [AUTH] AccessToken 재발급 완료 : user1
25-04-10 08:39:17 INFO  | [AUTH] path: /login
25-04-10 08:39:17 INFO  | [AUTH] path: /view/chatListView
25-04-10 08:39:18 INFO  | [AUTH] path: /view/chatView
25-04-10 08:39:18 INFO  | [AUTH] path: /view/chatView
25-04-10 08:39:18 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:39:18 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:39:23 INFO  | [AUTH] path: /view/chatView
25-04-10 08:39:23 INFO  | [AUTH] path: /view/chatView
